
Reading setup file setup.txt

File name prefix: Occlusion2
First file number: 1
Last file number: 890
Initial template corners (top left y x, bottom right y x): 57 119 157 193 
Search margin (pixels): 7
Number of bins: 16
Metric used for comparing histograms (1 = chi square, 2 = EMD, 3 = KS (best choice)) : 3

Frame size: height = 240 width = 320
116 98 168 0.0251906 48 131 101 75
117 99 172 0.0244165 49 135 101 75
118 98 168 0.0247236 48 131 101 75
119 98 169 0.0230344 48 132 101 75
120 98 169 0.0241093 48 132 101 75
121 99 172 0.0251843 49 135 101 75
122 99 172 0.0262592 49 135 101 75
123 99 172 0.0261057 49 135 101 75
124 98 171 0.0270969 48 134 101 75
125 99 168 0.0276413 49 131 101 75
126 99 170 0.0264128 49 133 101 75
127 98 166 0.0261057 48 129 101 75
128 98 165 0.0230344 48 128 101 75
129 99 165 0.023188 49 128 101 75
130 99 165 0.0231481 49 128 101 75
131 99 165 0.0242629 49 128 101 75
132 99 165 0.0250545 49 128 101 75
133 98 167 0.0268246 48 130 101 75
134 99 167 0.025463 49 130 101 75
135 99 166 0.0273693 49 129 101 75
136 99 168 0.0266885 49 131 101 75
137 99 168 0.0268246 49 131 101 75
138 99 168 0.0276413 49 131 101 75
139 99 170 0.0258715 49 133 101 75
140 100 169 0.0266885 50 132 101 75
141 100 169 0.0304054 50 132 101 75
142 100 171 0.0290033 50 134 101 75
143 100 171 0.0285627 50 134 101 75
144 101 170 0.0300983 51 133 101 75
145 101 172 0.029484 51 135 101 75
146 101 172 0.0311819 51 135 101 75
147 101 171 0.0316339 51 134 101 75
148 99 172 0.0328159 49 135 101 75
149 101 172 0.0325553 51 135 101 75
150 101 173 0.0325436 51 136 101 75
151 101 172 0.0310197 51 135 101 75
152 102 170 0.0310458 52 133 101 75
153 101 172 0.033016 51 135 101 75
154 102 173 0.0316339 52 136 101 75
155 101 172 0.0319989 51 135 101 75
156 102 173 0.031941 52 136 101 75
157 102 173 0.0325553 52 136 101 75
158 101 172 0.0324074 51 135 101 75
159 102 173 0.0284091 52 136 101 75
160 102 172 0.0287309 52 135 101 75
161 101 172 0.0334967 51 135 101 75
162 101 172 0.0310458 51 135 101 75
163 101 172 0.0306373 51 135 101 75
164 101 172 0.0318627 51 135 101 75
165 101 172 0.0328159 51 135 101 75
166 101 172 0.0317266 51 135 101 75
167 103 172 0.0305011 53 135 101 75
168 103 172 0.0329521 53 135 101 75
169 103 172 0.0322712 53 135 101 75
170 103 171 0.0322712 53 134 101 75
171 103 172 0.0310197 53 135 101 75
172 102 171 0.0324017 52 134 101 75
173 103 165 0.0311819 53 128 101 75
174 100 160 0.0315904 50 123 101 75
175 100 161 0.030559 50 124 101 75
176 100 160 0.0348587 50 123 101 75
177 104 165 0.0340414 54 128 101 75
178 105 171 0.0298203 55 134 101 75
179 104 165 0.0313181 54 128 101 75
180 104 171 0.0307734 54 134 101 75
181 102 171 0.0309096 52 134 101 75
182 102 171 0.0302518 52 134 101 75
183 103 171 0.0290233 53 134 101 75
184 103 169 0.0294118 53 132 101 75
185 103 170 0.0310458 53 133 101 75
186 101 170 0.0313268 51 133 101 75
187 101 171 0.0328159 51 134 101 75
188 102 167 0.0302288 52 130 101 75
189 100 169 0.0303649 50 132 101 75
190 100 170 0.0284586 50 133 101 75
191 101 168 0.0270969 51 131 101 75
192 102 168 0.0279484 52 131 101 75
193 101 169 0.0250307 51 132 101 75
194 101 170 0.0232843 51 133 101 75
195 101 167 0.0250307 51 130 101 75
196 102 168 0.0277948 52 131 101 75
197 101 168 0.0272331 51 131 101 75
198 102 169 0.0265523 52 132 101 75
199 102 169 0.0270969 52 132 101 75
200 102 167 0.0245098 52 130 101 75
201 102 169 0.0276413 52 132 101 75
202 102 168 0.0249183 52 131 101 75
203 101 167 0.0261438 51 130 101 75
204 101 167 0.0250545 51 130 101 75
205 101 165 0.0271806 51 128 101 75
206 101 168 0.0261438 51 131 101 75
207 101 168 0.0266885 51 131 101 75
208 101 168 0.0250545 51 131 101 75
209 101 168 0.0243736 51 131 101 75
210 101 168 0.024646 51 131 101 75
211 101 168 0.0236486 51 131 101 75
212 101 165 0.0253268 51 128 101 75
213 101 166 0.0247821 51 129 101 75
214 101 163 0.0257353 51 126 101 75
215 101 166 0.0247821 51 129 101 75
216 100 163 0.0265663 50 126 101 75
217 101 162 0.0251843 51 125 101 75
218 101 166 0.0241013 51 129 101 75
219 100 164 0.02457 50 127 101 75
220 93 159 0.0255991 43 122 101 75
221 94 161 0.0274877 44 124 101 75
222 95 161 0.0267199 45 124 101 75
223 96 163 0.0268246 46 126 101 75
224 97 166 0.0267199 47 129 101 75
225 98 172 0.0242375 48 135 101 75
226 98 172 0.0242629 48 135 101 75
227 99 173 0.0234205 49 136 101 75
228 99 172 0.0209695 49 135 101 75
229 99 171 0.0202887 49 134 101 75
230 100 175 0.0210381 50 138 101 75
231 99 172 0.0212418 49 135 101 75
232 99 171 0.0202703 49 134 101 75
233 99 171 0.0213452 49 134 101 75
234 98 173 0.019656 48 136 101 75
235 98 171 0.0201167 48 134 101 75
236 99 176 0.0208333 49 139 101 75
237 98 172 0.0227273 48 135 101 75
238 97 172 0.0212418 47 135 101 75
239 97 170 0.0202703 47 133 101 75
240 97 172 0.0215142 47 135 101 75
241 96 171 0.0219595 46 134 101 75
242 96 171 0.0213452 46 134 101 75
243 96 173 0.0217865 46 136 101 75
244 95 171 0.0227397 45 134 101 75
245 97 173 0.0204238 47 136 101 75
246 96 173 0.020561 46 136 101 75
247 96 172 0.0220588 46 135 101 75
248 95 174 0.0198802 45 137 101 75
249 95 171 0.0201167 45 134 101 75
250 95 173 0.0206972 45 136 101 75
251 95 174 0.0218059 45 137 101 75
252 95 173 0.0219227 45 136 101 75
253 95 172 0.020731 45 135 101 75
254 95 172 0.021378 45 135 101 75
255 95 172 0.0200163 45 135 101 75
256 95 172 0.020561 45 135 101 75
257 95 172 0.0196078 45 135 101 75
258 95 171 0.0220588 45 134 101 75
259 95 173 0.021378 45 136 101 75
260 95 173 0.0216503 45 136 101 75
261 95 170 0.0218059 45 133 101 75
262 95 171 0.0226035 45 134 101 75
263 96 172 0.0248771 46 135 101 75
264 95 170 0.0242629 45 133 101 75
265 95 172 0.0250545 45 135 101 75
266 95 170 0.0251843 45 133 101 75
267 95 170 0.022195 45 133 101 75
268 96 169 0.0277778 46 132 101 75
269 95 171 0.0287309 45 134 101 75
270 94 168 0.0298203 44 131 101 75
271 95 170 0.0296841 45 133 101 75
272 95 166 0.0291394 45 129 101 75
273 95 166 0.0300926 45 129 101 75
274 95 166 0.028102 45 129 101 75
275 95 169 0.0300926 45 132 101 75
276 95 169 0.0283224 45 132 101 75
277 95 169 0.02457 45 132 101 75
278 95 166 0.0238022 45 129 101 75
279 95 166 0.0239558 45 129 101 75
280 95 170 0.0227273 45 133 101 75
281 95 169 0.022195 45 132 101 75
282 95 168 0.0216503 45 131 101 75
283 95 168 0.0193355 45 131 101 75
284 95 168 0.0185185 45 131 101 75
285 95 168 0.0176597 45 131 101 75
286 95 168 0.0187909 45 131 101 75
287 95 167 0.0193489 45 130 101 75
288 95 166 0.0219227 45 129 101 75
289 95 167 0.0201525 45 130 101 75
290 95 168 0.0216523 45 131 101 75
291 95 166 0.0227273 45 129 101 75
292 96 167 0.0231481 46 130 101 75
293 96 167 0.0234951 46 130 101 75
294 96 168 0.0261057 46 131 101 75
295 95 168 0.0261438 45 131 101 75
296 96 168 0.0272331 46 131 101 75
297 96 168 0.029484 46 131 101 75
298 96 168 0.0314803 46 131 101 75
299 96 169 0.0308661 46 132 101 75
300 97 170 0.0293305 47 133 101 75
301 97 170 0.0311732 47 133 101 75
302 97 170 0.0317266 47 133 101 75
303 98 169 0.0351307 48 132 101 75
304 98 170 0.0340414 48 133 101 75
305 98 169 0.0340414 48 132 101 75
306 99 167 0.0294118 49 130 101 75
307 100 164 0.0310458 50 127 101 75
308 100 163 0.0294118 50 126 101 75
309 100 162 0.0290233 50 125 101 75
310 100 160 0.0300983 50 123 101 75
311 99 160 0.0307734 49 123 101 75
312 99 160 0.0321351 49 123 101 75
313 98 160 0.0315904 48 123 101 75
314 98 159 0.0325436 48 122 101 75
315 99 159 0.030559 49 122 101 75
316 99 160 0.0307734 49 123 101 75
317 99 159 0.0321351 49 122 101 75
318 100 157 0.030559 50 120 101 75
319 100 157 0.0310458 50 120 101 75
320 101 155 0.0307125 51 118 101 75
321 102 152 0.0300926 52 115 101 75
322 103 150 0.0241013 53 113 101 75
323 103 150 0.0288671 53 113 101 75
324 105 145 0.0273693 55 108 101 75
325 107 144 0.0339052 57 107 101 75
326 101 147 0.0331695 51 110 101 75
327 101 146 0.0324017 51 109 101 75
328 102 143 0.0345516 52 106 101 75
329 103 147 0.0396192 53 110 101 75
330 103 146 0.0383907 53 109 101 75
331 103 140 0.0380835 53 103 101 75
332 104 140 0.0412582 54 103 101 75
333 104 138 0.0419226 54 101 101 75
334 100 133 0.0405405 50 96 101 75
335 100 132 0.0402334 50 95 101 75
336 100 132 0.0431645 50 95 101 75
337 100 131 0.0422297 50 94 101 75
338 100 131 0.0422297 50 94 101 75
339 100 131 0.0430283 50 94 101 75
340 100 132 0.0448403 50 95 101 75
341 104 134 0.0439189 54 97 101 75
342 104 133 0.046841 54 96 101 75
343 104 132 0.0488834 54 95 101 75
344 104 131 0.0547386 54 94 101 75
345 104 130 0.0555556 54 93 101 75
346 105 129 0.0608108 55 92 101 75
347 103 126 0.0638617 53 89 101 75
348 96 130 0.0642702 46 93 101 75
349 91 126 0.0625 41 89 101 75
350 93 129 0.0617322 43 92 101 75
351 93 130 0.0609644 43 93 101 75
352 93 130 0.0618857 43 93 101 75
353 93 127 0.0661855 43 90 101 75
354 94 122 0.0660319 44 85 101 75
355 88 115 0.0591216 38 78 101 75
356 88 115 0.0609644 38 78 101 75
357 87 119 0.0601852 37 82 101 75
358 86 119 0.0589681 36 82 101 75
359 85 120 0.0581427 35 83 101 75
360 85 122 0.0566449 35 85 101 75
361 84 123 0.0529791 34 86 101 75
362 86 126 0.0549754 36 89 101 75
363 86 127 0.0554194 36 90 101 75
364 89 133 0.055129 39 96 101 75
365 85 126 0.0532862 35 89 101 75
366 85 126 0.0539005 35 89 101 75
367 83 124 0.0533769 33 87 101 75
368 83 124 0.0568182 33 87 101 75
369 88 128 0.060049 38 91 101 75
370 88 131 0.0630447 38 94 101 75
371 94 137 0.0583538 44 100 101 75
372 88 137 0.0635749 38 100 101 75
373 87 140 0.0635749 37 103 101 75
374 91 147 0.0664488 41 110 101 75
375 91 152 0.065768 41 115 101 75
376 89 158 0.0724816 39 121 101 75
377 82 160 0.0842865 32 123 101 75
378 76 167 0.0763889 26 130 101 75
379 71 164 0.0743464 21 127 101 75
380 71 165 0.0740741 21 128 101 75
381 71 166 0.077342 21 129 101 75
382 74 173 0.0808824 24 136 101 75
383 77 177 0.0754357 27 140 101 75
384 75 179 0.0736656 25 142 101 75
385 73 179 0.0680828 23 142 101 75
386 73 185 0.0683354 23 148 101 75
387 80 179 0.0703317 30 142 101 75
388 81 182 0.0675676 31 145 101 75
389 81 184 0.0678747 31 147 101 75
390 82 185 0.0677211 32 148 101 75
391 82 184 0.0658784 32 147 101 75
392 83 183 0.0686425 33 146 101 75
393 81 179 0.0644963 31 142 101 75
394 82 175 0.0687961 32 138 101 75
395 75 178 0.0748911 25 141 101 75
396 75 177 0.0807462 25 140 101 75
397 80 176 0.0925983 30 139 101 75
398 82 170 0.103808 32 133 101 75
399 89 164 0.0932125 39 127 101 75
400 89 163 0.103655 39 126 101 75
401 89 159 0.104269 39 122 101 75
402 87 154 0.10158 37 117 101 75
403 88 147 0.0965909 38 110 101 75
404 87 140 0.0898342 37 103 101 75
405 87 137 0.0812908 37 100 101 75
406 88 136 0.0798526 38 99 101 75
407 88 134 0.0767813 38 97 101 75
408 88 133 0.0727887 38 96 101 75
409 88 131 0.0712531 38 94 101 75
410 89 128 0.0726351 39 91 101 75
411 89 128 0.0661765 39 91 101 75
412 87 124 0.0675381 37 87 101 75
413 87 122 0.0655713 37 85 101 75
414 87 122 0.0687636 37 85 101 75
415 92 126 0.0681818 42 89 101 75
416 88 120 0.0687961 38 83 101 75
417 84 113 0.0706699 34 76 101 75
418 84 107 0.0654956 34 70 101 75
419 84 103 0.0615468 34 66 101 75
420 85 106 0.0623638 35 69 101 75
421 86 106 0.0623638 36 69 101 75
422 87 106 0.061683 37 69 101 75
423 86 105 0.0603213 36 68 101 75
424 87 105 0.0603213 37 68 101 75
425 87 105 0.0620915 37 68 101 75
426 88 105 0.0634214 38 68 101 75
427 84 107 0.0650871 34 70 101 75
428 89 106 0.067402 39 69 101 75
429 85 108 0.066585 35 71 101 75
430 86 106 0.060866 36 69 101 75
431 86 108 0.0626362 36 71 101 75
432 85 109 0.064134 35 72 101 75
433 87 112 0.0651106 37 75 101 75
434 87 113 0.0659041 37 76 101 75
435 86 113 0.0663126 36 76 101 75
436 87 114 0.0652233 37 77 101 75
437 85 115 0.0635893 35 78 101 75
438 85 115 0.064134 35 78 101 75
439 85 116 0.0635893 35 79 101 75
440 83 115 0.0630447 33 78 101 75
441 83 115 0.0612715 33 78 101 75
442 85 116 0.0608108 35 79 101 75
443 84 116 0.0599129 34 79 101 75
444 85 116 0.0589597 35 79 101 75
445 85 116 0.0597767 35 79 101 75
446 85 116 0.0609644 35 79 101 75
447 85 115 0.0597767 35 78 101 75
448 85 115 0.0619553 35 78 101 75
449 85 114 0.0629607 35 77 101 75
450 87 113 0.0644063 37 76 101 75
451 85 106 0.0625 35 69 101 75
452 86 103 0.0625 36 66 101 75
453 85 106 0.0629085 35 69 101 75
454 86 103 0.0628071 36 66 101 75
455 87 103 0.0630447 37 66 101 75
456 87 103 0.0631808 37 66 101 75
457 87 103 0.0612745 37 66 101 75
458 87 103 0.0618192 37 66 101 75
459 86 103 0.0630447 36 66 101 75
460 88 102 0.061683 38 65 101 75
461 87 102 0.0615468 37 65 101 75
462 87 102 0.0630447 37 65 101 75
463 87 102 0.0606572 37 65 101 75
464 92 107 0.0677211 42 70 101 75
465 92 107 0.0679466 42 70 101 75
466 92 106 0.0687636 42 69 101 75
467 87 107 0.0678747 37 70 101 75
468 94 109 0.0695806 44 72 101 75
469 94 109 0.0695806 44 72 101 75
470 87 102 0.0712531 37 65 101 75
471 87 102 0.0709423 37 65 101 75
472 85 108 0.0727124 35 71 101 75
473 85 108 0.0718673 35 71 101 75
474 84 108 0.0716231 34 71 101 75
475 87 106 0.0725763 37 69 101 75
476 87 106 0.0726351 37 69 101 75
477 88 106 0.0741708 38 69 101 75
478 88 106 0.0733932 38 69 101 75
479 89 108 0.0748911 39 71 101 75
480 86 109 0.0752996 36 72 101 75
481 89 106 0.0744779 39 69 101 75
482 94 107 0.0742102 44 70 101 75
483 95 107 0.0743464 45 70 101 75
484 91 102 0.0773956 41 65 101 75
485 85 102 0.0752457 35 65 101 75
486 86 102 0.0708061 36 65 101 75
487 86 101 0.0698529 36 64 101 75
488 86 101 0.0712146 36 64 101 75
489 86 99 0.0709423 36 62 101 75
490 86 99 0.0710995 36 62 101 75
491 86 99 0.0709459 36 62 101 75
492 86 99 0.0747549 36 62 101 75
493 85 94 0.0764742 35 57 101 75
494 85 94 0.0774782 35 57 101 75
495 86 95 0.0784314 36 58 101 75
496 85 94 0.0795207 35 57 101 75
497 86 95 0.0811547 36 58 101 75
498 85 94 0.0829238 35 57 101 75
499 85 95 0.0844595 35 58 101 75
500 85 95 0.0855344 35 58 101 75
501 85 95 0.084613 35 58 101 75
502 85 94 0.0839988 35 57 101 75
503 85 93 0.0847666 35 56 101 75
504 85 94 0.0796569 35 57 101 75
505 84 91 0.074785 34 54 101 75
506 90 96 0.0772059 40 59 101 75
507 86 92 0.0716231 36 55 101 75
508 85 93 0.0680828 35 56 101 75
509 84 93 0.067414 34 56 101 75
510 84 93 0.067402 34 56 101 75
511 83 95 0.0713508 33 58 101 75
512 86 102 0.0653595 36 65 101 75
513 87 109 0.0672658 37 72 101 75
514 86 104 0.0663391 36 67 101 75
515 87 101 0.0651106 37 64 101 75
516 85 106 0.0654177 35 69 101 75
517 85 107 0.0663391 35 70 101 75
518 85 109 0.0676743 35 72 101 75
519 87 116 0.0693083 37 79 101 75
520 88 121 0.0582789 38 84 101 75
521 87 122 0.0615468 37 85 101 75
522 88 123 0.0599129 38 86 101 75
523 89 124 0.0631808 39 87 101 75
524 88 126 0.0634214 38 89 101 75
525 85 127 0.0638617 35 90 101 75
526 87 128 0.0666462 37 91 101 75
527 82 126 0.0699891 32 89 101 75
528 89 129 0.068219 39 92 101 75
529 88 130 0.0678747 38 93 101 75
530 93 132 0.0637255 43 95 101 75
531 100 136 0.0614251 50 99 101 75
532 105 135 0.0551471 55 98 101 75
533 104 136 0.0571253 54 99 101 75
534 105 138 0.058415 55 101 101 75
535 106 132 0.0522113 56 95 101 75
536 106 134 0.0534398 56 97 101 75
537 108 136 0.0479303 58 99 101 75
538 109 137 0.0436118 59 100 101 75
539 110 138 0.0472973 60 101 101 75
540 108 140 0.0479115 58 103 101 75
541 105 137 0.0491558 55 100 101 75
542 105 139 0.0462224 55 102 101 75
543 105 140 0.0443796 55 103 101 75
544 105 142 0.0429975 55 105 101 75
545 104 142 0.040387 54 105 101 75
546 108 140 0.0373157 58 103 101 75
547 108 141 0.0347052 58 104 101 75
548 109 143 0.0317875 59 106 101 75
549 109 144 0.0326797 59 107 101 75
550 109 145 0.0347222 59 108 101 75
551 108 145 0.0342445 58 108 101 75
552 106 146 0.0344499 56 109 101 75
553 108 148 0.0334767 58 111 101 75
554 103 151 0.0351658 53 114 101 75
555 109 150 0.0333231 59 113 101 75
556 110 150 0.029484 60 113 101 75
557 111 151 0.0418028 61 114 101 75
558 104 157 0.0422113 54 120 101 75
559 105 158 0.0546683 55 121 101 75
560 105 159 0.0531046 55 122 101 75
561 112 159 0.0545147 62 122 101 75
562 114 161 0.0591216 64 124 101 75
563 108 166 0.0664926 58 129 101 75
564 113 164 0.0645425 63 127 101 75
565 107 168 0.0736656 57 131 101 75
566 107 171 0.0763206 57 134 101 75
567 108 170 0.0746315 58 133 101 75
568 109 172 0.0785675 59 135 101 75
569 108 170 0.0838452 58 133 101 75
570 115 177 0.0879914 65 140 101 75
571 108 184 0.084613 58 147 101 75
572 111 183 0.0812908 61 146 101 75
573 110 183 0.0866093 60 146 101 75
574 112 178 0.0892199 62 141 101 75
575 113 178 0.0855344 63 141 101 75
576 116 183 0.085688 66 146 101 75
577 112 181 0.0866093 62 144 101 75
578 113 186 0.0925983 63 149 101 75
579 115 187 0.0964373 65 150 101 75
580 112 184 0.0945946 62 147 101 75
581 119 184 0.0939803 69 147 101 75
582 122 186 0.101307 72 149 101 75
583 119 190 0.110412 69 153 101 75
584 119 184 0.109069 69 147 101 75
585 112 188 0.0974946 62 151 101 75
586 109 187 0.0851035 59 150 101 75
587 109 181 0.0806204 59 144 101 75
588 102 184 0.0753993 52 147 101 75
589 96 181 0.0580065 46 144 101 75
590 92 182 0.0523649 42 145 101 75
591 99 185 0.0554361 49 148 101 75
592 93 184 0.0660403 43 147 101 75
593 99 180 0.0693083 49 143 101 75
594 106 185 0.0597767 56 148 101 75
595 110 184 0.0563725 60 147 101 75
596 109 184 0.0603213 59 147 101 75
597 113 190 0.0590959 63 153 101 75
598 112 186 0.0611383 62 149 101 75
599 111 184 0.0534398 61 147 101 75
600 112 185 0.052672 62 148 101 75
601 111 183 0.0562039 61 146 101 75
602 109 183 0.0631142 59 146 101 75
603 110 183 0.0611179 60 146 101 75
604 109 183 0.0671069 59 146 101 75
605 113 187 0.0659041 63 150 101 75
606 111 188 0.0654956 61 151 101 75
607 116 181 0.0642702 66 144 101 75
608 110 183 0.0625 60 146 101 75
609 111 182 0.0597359 61 145 101 75
610 112 182 0.0601966 62 145 101 75
611 105 182 0.0635893 55 145 101 75
612 101 181 0.0556917 51 144 101 75
613 101 180 0.0582789 51 143 101 75
614 107 177 0.0577342 57 140 101 75
615 106 176 0.057586 56 139 101 75
616 105 177 0.0582002 55 140 101 75
617 103 177 0.0598894 53 140 101 75
618 101 176 0.0615468 51 139 101 75
619 99 174 0.0581427 49 137 101 75
620 99 174 0.0562039 49 137 101 75
621 98 173 0.0534398 48 136 101 75
622 98 173 0.0532862 48 136 101 75
623 99 175 0.0582002 49 138 101 75
624 106 177 0.0601966 56 140 101 75
625 111 182 0.0520577 61 145 101 75
626 109 181 0.0529791 59 144 101 75
627 110 181 0.0559641 60 144 101 75
628 105 176 0.0606572 55 139 101 75
629 99 171 0.0628071 49 134 101 75
630 99 172 0.0686425 49 135 101 75
631 102 178 0.0698529 52 141 101 75
632 99 171 0.0709459 49 134 101 75
633 99 171 0.0701781 49 134 101 75
634 99 171 0.0712531 49 134 101 75
635 102 177 0.077342 52 140 101 75
636 98 171 0.0775491 48 134 101 75
637 95 169 0.0791122 45 132 101 75
638 97 170 0.0760135 47 133 101 75
639 97 170 0.0752457 47 133 101 75
640 97 169 0.0764742 47 132 101 75
641 93 167 0.0767974 43 130 101 75
642 92 167 0.0760135 42 130 101 75
643 93 167 0.0761166 43 130 101 75
644 97 171 0.074785 47 134 101 75
645 96 171 0.0701781 46 134 101 75
646 96 171 0.0667998 46 134 101 75
647 95 170 0.0637285 45 133 101 75
648 95 172 0.0590959 45 135 101 75
649 102 178 0.0672604 52 141 101 75
650 109 171 0.0585512 59 134 101 75
651 111 178 0.0536492 61 141 101 75
652 112 177 0.052672 62 140 101 75
653 119 180 0.0511983 69 143 101 75
654 119 181 0.0502451 69 144 101 75
655 116 174 0.0537469 66 137 101 75
656 114 173 0.0503686 64 136 101 75
657 113 171 0.0490196 63 134 101 75
658 114 171 0.0474509 64 134 101 75
659 114 171 0.0469771 64 134 101 75
660 114 172 0.0479115 64 135 101 75
661 114 172 0.0457617 64 135 101 75
662 116 172 0.0447985 66 135 101 75
663 113 170 0.050215 63 133 101 75
664 120 173 0.0490196 70 136 101 75
665 120 174 0.0464325 70 137 101 75
666 122 172 0.0480664 72 135 101 75
667 122 172 0.0495643 72 135 101 75
668 123 173 0.0479115 73 136 101 75
669 123 174 0.0488834 73 137 101 75
670 122 172 0.0488329 72 135 101 75
671 122 172 0.047758 72 135 101 75
672 122 174 0.0489865 72 137 101 75
673 121 172 0.0499079 71 135 101 75
674 122 174 0.0500614 72 137 101 75
675 118 175 0.0517506 68 138 101 75
676 121 171 0.052672 71 134 101 75
677 118 176 0.0533769 68 139 101 75
678 117 176 0.0510621 67 139 101 75
679 121 171 0.0542076 71 134 101 75
680 117 175 0.0520152 67 138 101 75
681 117 175 0.0515971 67 138 101 75
682 116 175 0.0518791 66 138 101 75
683 116 175 0.0509259 66 138 101 75
684 115 175 0.0505221 65 138 101 75
685 115 175 0.0511364 65 138 101 75
686 115 175 0.052672 65 138 101 75
687 119 176 0.0563725 69 139 101 75
